,facility_id,program_type,facility_status,facility_name,city,zipcode,school_district_name,infant_capacity,toddler_capacity,preschool_capacity,school_age_capacity,children_capacity,total_capacity,latitude,longitude,under-5_capacity
1606,659830,GFDC,License,Little Chatter Box Day Care,Schenectady,12303,Schenectady,0,0,0,4,12,16,42.796999,-73.945256,0.0
1607,71564,GFDC,License,Mom's Family Day Care,Forest Hills,11375,Queens 28,0,0,0,4,12,16,40.711839,-73.853455,0.0
1608,813661,FDC,Registration,"Jimenez Chavez, Danay",Syracuse,13210,Syracuse,0,0,0,2,6,8,43.026053,-76.13937,0.0
1609,346796,SACC,Registration,South Asian Youth Action @ PS 124,South Ozone Park,11420,Queens 27,0,0,0,280,0,280,40.665223,-73.811415,0.0
1610,881565,GFDC,License,All For One Family Daycare,Cuba,14727,Cuba-Rushford,0,0,0,4,12,16,42.21793,-78.270787,0.0
1611,724909,GFDC,License,"Friedman, Rivka",Spring Valley,10977,East Ramapo,0,0,0,4,12,16,41.123036,-74.050337,0.0
1612,244586,SACC,Registration,LEAP AFTER SCHOOL AT I.S. 22,BRONX,10456,Bronx 9,0,0,0,360,0,360,40.833113,-73.914154,0.0
1613,250493,GFDC,License,"Burgos, Estela",New York,10040,Manhattan 6,0,0,0,2,12,14,40.85446,-73.92894,0.0
1614,449424,DCC,License,Children's Nest Inc.,Wantagh,11793,Levittown,8,34,47,0,0,89,40.70583,-73.50294,70.2
1615,750417,DCC,License,"Tutor Time Learning Centers, LLC",Massapequa,11758,Massapequa,32,72,84,18,0,206,40.677536,-73.473946,154.4
1616,139278,FDC,Registration,"Mccreary, Lora",Apalachin,13732,Vestal,0,0,0,2,6,8,42.058045,-76.143988,0.0
1617,431699,FDC,Registration,"Miller, Faith",Clayton,13624,Thousand Island,0,0,0,2,6,8,44.234942,-76.087683,0.0
1618,808132,GFDC,License,Just Like Home Family Daycare,Saratoga Springs,12866,Saratoga Springs,0,0,0,0,12,12,43.037892,-73.829808,0.0
1619,146262,FDC,Registration,"Unkel, Lisa",Greene,13778,Greene,0,0,0,2,6,8,42.330318,-75.755002,0.0
1620,299068,DCC,License,"Park Ave. Day Care East, LLC",Fairport,14450,Fairport,16,28,37,13,0,94,43.065458,-77.407785,66.2
1621,24013,FDC,Registration,"Johnson, Jannice",Rochester,14605,Rochester,0,0,0,2,5,7,43.171627,-77.590642,0.0
1622,790174,GFDC,License,First Stage Day Care Incorporated,Mount Vernon,10550,Mount Vernon,0,0,0,4,12,16,40.908264,-73.831713,0.0
1623,643630,GFDC,License,"Llano, Ana",Bronx,10456,Bronx 9,0,0,0,4,12,16,40.830702,-73.918584,0.0
1624,859412,GFDC,License,Silent Night Child Care,Central Islip,11722,Central Islip,0,0,0,4,12,16,40.79911,-73.182886,0.0
1625,876224,GFDC,License,"Cassandra's Day Care, Inc.",New York,10031,Manhattan 6,0,0,0,4,12,16,40.827322,-73.946954,0.0
1626,812201,FDC,Registration,"Linsley, Terri",Plattsburgh,12901,Beekmantown,0,0,0,2,6,8,,,0.0
1627,643864,FDC,Registration,"Acevedo, Patricia",New York,10032,Manhattan 6,0,0,0,2,6,8,40.83463,-73.941976,0.0
1628,858127,SACC,Registration,Healthy Kids Extended Day Program Inc.,Gowanda,14070,Gowanda,0,0,0,20,0,20,42.475317,-78.940982,0.0
1629,758322,FDC,Registration,"Smith, Brooke",Rochester,14608,Rochester,0,0,0,2,6,8,43.145738,-77.626622,0.0
1630,750149,GFDC,License,"Budding Blossoms Early Childcare And Development, Inc.",New York,10037,Manhattan 5,0,0,0,4,12,16,40.813228,-73.937072,0.0
1631,823378,GFDC,License,"Poy, Vanessa",Bronx,10458,Bronx 10,0,0,0,4,12,16,40.859244,-73.893433,0.0
1632,837414,FDC,Registration,Cobble Hill Kids Club,Wilton,12831,Saratoga Springs,0,0,0,2,6,8,43.127617,-73.742748,0.0
1633,242573,GFDC,License,Wiggles & Giggles Day Care,Mt. Vernon,10552,Mount Vernon,0,0,0,4,12,16,40.923912,-73.829714,0.0
1634,682894,SACC,Registration,New York Junior Tennis League @ PS. 12K,Brooklyn,11233,Brooklyn 16,0,0,0,219,0,219,40.672846,-73.919755,0.0
1635,108853,FDC,Registration,"Harrison, Deborah",New York,10037,Manhattan 5,0,0,0,2,6,8,40.812234,-73.938203,0.0
1636,276185,FDC,Registration,"Dainotto, Francesca",Rome,13440,Rome,0,0,0,2,6,8,43.221339,-75.454491,0.0
1637,504439,GFDC,License,"Guerrero, Ramon",Bronx,10457,Bronx 9,0,0,0,2,12,14,40.844384,-73.909243,0.0
1638,873408,FDC,Registration,"Floyd, Deshawna",Rochester,14609,Rochester,0,0,0,2,6,8,43.166594,-77.58308,0.0
1639,787307,GFDC,License,Nurturing Family Daycare,Saint Albans,11412,Queens 29,0,0,0,4,12,16,40.693098,-73.763619,0.0
1640,880870,GFDC,License,FIONA ESTHER'S DAYCARE INC.,Flushing,11367,Queens 25,0,0,0,4,12,16,40.721729,-73.81712,0.0
1641,74169,SACC,Registration,Henry Street Settlement @PS 134,New York,10002,Manhattan 1,0,0,0,198,0,198,40.714515,-73.983172,0.0
1642,844249,GFDC,License,TIA MARY FAMILY GROUP DAYCARE INC.,Bronx,10453,Bronx 9,0,0,0,4,12,16,40.851101,-73.920151,0.0
1643,809460,FDC,Registration,"Viola, Bobbyjo",Rome,13440,Rome,0,0,0,2,6,8,43.222282,-75.450946,0.0
1644,45211,SACC,Registration,"Adirondack Community Action Programs, Inc.",Port Henry,12974,Moriah,0,0,0,44,0,44,44.044999,-73.47928,0.0
